Trade Date,Arca,Amex,Consolidated
20231025,"5,174.1","3,022.6","45,112.6"
20231024,"4,546.6","2,379.0","36,199.6"
20231023,"4,694.2","2,454.0","39,279.4"
20231020,"5,780.5","3,310.5","49,005.4"
20231019,"5,544.7","2,839.9","45,008.3"
20231018,"5,241.9","2,990.2","44,812.4"
20231017,"4,480.1","2,708.4","35,976.0"
20231016,"4,375.8","2,857.4","34,093.3"
20231013,"5,948.7","2,959.1","45,333.6"
20231012,"5,263.5","2,856.6","41,717.0"
20231011,"4,098.6","2,363.9","35,631.4"
20231010,"4,430.9","2,656.7","37,262.7"
20231009,"3,547.2","2,098.2","30,205.0"
20231006,"5,696.3","2,848.5","46,245.2"
20231005,"4,282.0","2,549.9","35,129.1"
20231004,"4,986.5","2,630.8","42,107.8"
20231003,"5,118.8","2,673.7","40,724.0"
20231002,"4,313.3","2,192.2","34,759.8"
20230929,"4,596.0","2,716.9","42,268.8"
20230928,"4,200.7","2,430.5","37,201.8"
20230927,"4,604.2","2,814.4","43,521.5"
20230926,"4,167.9","2,725.0","37,180.1"
20230925,"3,364.5","2,334.7","30,794.5"
20230922,"4,474.9","2,650.6","40,338.0"
20230921,"4,868.9","2,967.7","43,444.9"
20230920,"3,703.4","2,172.1","33,659.6"
20230919,"3,770.8","2,682.8","32,510.1"
20230918,"3,635.3","2,462.1","31,446.9"
20230915,"5,360.7","3,293.2","45,115.7"
20230914,"4,816.9","3,239.8","40,663.4"
20230913,"4,729.6","3,745.0","41,351.5"
20230912,"4,252.4","3,546.7","36,791.2"
20230911,"3,966.4","2,883.5","36,185.4"
20230908,"4,336.2","2,830.4","39,459.8"
20230907,"4,703.8","2,921.9","39,408.5"
20230906,"4,642.0","2,721.1","38,424.8"
20230905,"3,990.7","2,307.6","32,749.9"
20230901,"5,390.3","2,369.2","40,618.7"
20230831,"4,381.8","2,781.8","36,218.4"
20230830,"4,673.0","2,536.3","38,399.8"
20230829,"5,402.2","2,800.9","41,276.3"
20230828,"3,911.4","2,059.4","31,589.3"
20230825,"4,914.9","2,779.6","43,297.8"
20230824,"4,300.5","2,736.6","39,196.0"
20230823,"3,809.9","3,399.1","37,959.9"
20230822,"3,808.1","3,098.8","34,368.5"
20230821,"3,941.5","3,282.6","37,854.7"
20230818,"5,653.4","3,760.0","48,129.1"
20230817,"4,856.3","3,673.4","46,395.4"
20230816,"4,473.6","3,673.0","43,618.7"
20230815,"4,572.5","2,864.0","38,445.4"
20230814,"4,140.7","2,697.2","37,562.7"
20230811,"4,911.0","3,046.9","41,863.5"
20230810,"5,230.8","2,878.4","44,708.6"
20230809,"4,900.2","2,823.4","41,791.6"
20230808,"4,561.1","2,844.6","37,927.2"
20230807,"4,012.7","2,371.6","35,515.8"
20230804,"5,749.9","2,922.7","50,359.1"
20230803,"4,650.4","2,920.1","40,743.9"
20230802,"5,088.0","3,163.5","46,704.5"
20230801,"3,728.3","2,401.8","35,197.2"
20230731,"3,981.9","2,795.0","37,877.8"
20230728,"5,358.0","3,312.7","48,499.2"
20230727,"5,920.0","3,164.0","51,342.7"
20230726,"4,153.4","2,339.8","35,941.2"
20230725,"3,914.1","2,847.7","34,686.3"
20230724,"4,279.5","3,066.7","36,949.8"
20230721,"4,993.6","3,691.2","44,912.7"
20230720,"5,419.2","3,468.2","47,611.1"
20230719,"5,333.6","3,395.6","45,164.2"
20230718,"4,880.5","3,154.4","42,710.5"
20230717,"4,327.7","2,912.9","37,660.0"
20230714,"5,859.7","2,994.2","49,059.2"
20230713,"5,453.2","2,961.4","45,484.9"
20230712,"5,324.9","2,863.6","44,118.0"
20230711,"4,171.2","2,354.9","36,426.2"
20230710,"3,826.6","2,523.5","33,315.5"
20230707,"4,578.1","2,604.1","40,244.2"
20230706,"4,393.1","2,565.2","38,874.2"
20230705,"3,936.9","2,510.2","31,623.6"
20230703,"2,324.5","1,487.3","21,418.8"
20230630,"5,308.1","3,193.9","44,081.1"
20230629,"4,224.9","2,222.5","34,402.1"
20230628,"4,606.7","2,153.8","36,174.0"
20230627,"4,377.1","2,669.2","34,536.4"
20230626,"4,142.5","2,077.7","33,230.8"
